person_id,bank_account_number,bank,person_age,person_education,person_gender,person_marital_status,person_occupation
p000078,A000078,4175902,48,associate degree,female,married,freelancer
p000079,A000079,1398427,21,high school,male,single,student
p000080,A000080,1265934,22,associate degree,female,single,student
p000081,A000081,4027316,45,bachelor's degree,male,married,blue-collar worker
p000082,A000082,2046713,31,graduate degree or higher,male,single,white-collar worker
p000083,A000083,4528071,58,high school,female,married,retired
p000084,A000084,2367901,35,bachelor's degree,female,married,business owner
p000085,A000085,1398427,19,high school,male,single,student
p000086,A000086,5039472,52,associate degree,female,married,unemployed
p000087,A000087,2046713,67,below high school,male,married,retired
p000088,A000088,5039472,24,associate degree,female,single,freelancer
p000089,A000089,1527806,28,bachelor's degree,male,single,white-collar worker
p000090,A000090,2793615,42,high school,female,married,blue-collar worker
p000091,A000091,2198345,63,associate degree,male,single,retired
p000092,A000092,3071954,38,graduate degree or higher,male,married,business owner
p000093,A000093,3862507,26,bachelor's degree,female,single,student
p000094,A000094,4871609,55,below high school,male,married,blue-collar worker
p000095,A000095,2657408,70,high school,female,married,retired
p000096,A000096,1739462,48,graduate degree or higher,male,married,white-collar worker
p000097,A000097,2657408,33,bachelor's degree,female,single,freelancer
p000098,A000098,2657408,61,below high school,male,married,retired
p000099,A000099,1872056,29,associate degree,female,single,white-collar worker
p000100,A000100,4027316,22,high school,female,single,student
p000101,A000101,2198345,30,bachelor's degree,male,married,white-collar worker
p000102,A000102,4175902,40,associate degree,female,married,blue-collar worker
p000103,A000103,5472906,28,bachelor's degree,female,single,freelancer
p000104,A000104,4027316,50,graduate degree or higher,male,married,business owner
p000105,A000105,3862507,67,high school,male,married,retired
p000106,A000106,1398427,34,associate degree,female,married,unemployed
p000107,A000107,3714628,46,bachelor's degree,female,married,white-collar worker
p000108,A000108,3862507,55,associate degree,male,married,blue-collar worker
p000109,A000109,1739462,42,bachelor's degree,male,married,business owner
p000110,A000110,3468205,60,graduate degree or higher,female,married,retired
p000111,A000111,4381267,19,high school,male,single,student
p000112,A000112,2046713,35,bachelor's degree,female,married,white-collar worker
p000113,A000113,1739462,26,associate degree,male,single,freelancer
p000114,A000114,3071954,52,high school,female,married,blue-collar worker
p000115,A000115,2793615,62,graduate degree or higher,male,married,retired
p000116,A000116,2198345,21,high school,female,single,student
p000117,A000117,5472906,38,associate degree,male,married,white-collar worker
p000118,A000118,3862507,45,bachelor's degree,female,married,freelancer
p000119,A000119,4175902,68,high school,male,married,retired
p000120,A000120,3468205,22,high school,male,single,student
p000121,A000121,2046713,35,bachelor's degree,female,married,white-collar worker
p000122,A000122,4027316,45,graduate degree or higher,male,married,business owner
p000123,A000123,2486137,29,associate degree,female,single,blue-collar worker
p000124,A000124,4871609,50,graduate degree or higher,female,married,white-collar worker
p000125,A000125,4528071,67,bachelor's degree,male,single,retired
p000126,A000126,4528071,38,high school,female,married,unemployed
p000127,A000127,1265934,27,bachelor's degree,male,single,freelancer
p000128,A000128,2046713,61,graduate degree or higher,female,married,retired
p000129,A000129,4871609,33,associate degree,female,single,blue-collar worker
p000130,A000130,1265934,23,associate degree,male,single,other
p000131,A000131,4693725,48,bachelor's degree,female,married,white-collar worker
p000132,A000132,2486137,55,below high school,male,married,blue-collar worker
p000133,A000133,2793615,72,high school,female,single,retired
p000134,A000134,2198345,42,bachelor's degree,male,married,business owner
p000135,A000135,1398427,24,high school,female,single,student
p000136,A000136,1872056,31,bachelor's degree,male,single,freelancer
p000137,A000137,5472906,60,associate degree,female,married,retired
p000138,A000138,3581974,65,below high school,male,married,unemployed
p000139,A000139,5286314,26,high school,female,single,blue-collar worker
p000140,A000140,4175902,22,high school,female,single,student
p000141,A000141,2486137,34,bachelor's degree,male,married,white-collar worker
p000142,A000142,1872056,45,associate degree,female,married,blue-collar worker
p000143,A000143,3862507,30,graduate degree or higher,male,single,business owner
p000144,A000144,3186407,67,bachelor's degree,female,married,retired
p000145,A000145,2793615,19,below high school,male,single,student
p000146,A000146,5286314,54,associate degree,female,married,blue-collar worker
p000147,A000147,5472906,42,graduate degree or higher,male,married,white-collar worker
p000148,A000148,3862507,28,associate degree,female,single,freelancer
p000149,A000149,3071954,60,high school,male,married,retired
p000150,A000150,1683509,37,associate degree,female,married,unemployed
p000151,A000151,2198345,25,high school,male,single,other
p000152,A000152,1683509,48,bachelor's degree,female,married,business owner
p000153,A000153,2046713,31,graduate degree or higher,male,married,white-collar worker
p000154,A000154,4381267,51,high school,female,married,freelancer
p000155,A000155,3468205,39,bachelor's degree,male,married,blue-collar worker
p000156,A000156,3468205,23,below high school,female,single,student
p000157,A000157,2198345,68,associate degree,male,married,retired
p000158,A000158,4381267,26,high school,female,single,freelancer
p000159,A000159,3581974,58,below high school,male,married,blue-collar worker
p000160,A000160,2947806,19,high school,female,single,student
p000161,A000161,5286314,34,bachelor's degree,male,married,white-collar worker
p000162,A000162,3581974,22,associate degree,male,single,freelancer
p000163,A000163,2793615,45,graduate degree or higher,female,married,business owner
p000164,A000164,2657408,60,associate degree,female,married,retired
p000165,A000165,2046713,28,bachelor's degree,male,single,white-collar worker
p000166,A000166,1683509,54,bachelor's degree,male,married,business owner
p000167,A000167,3295718,37,bachelor's degree,female,married,blue-collar worker
p000168,A000168,3186407,67,high school,male,married,retired
p000169,A000169,1398427,30,graduate degree or higher,male,single,business owner
p000170,A000170,4528071,21,high school,female,single,student
p000171,A000171,1265934,50,associate degree,male,married,blue-collar worker
p000172,A000172,5039472,42,bachelor's degree,female,married,white-collar worker
p000173,A000173,1527806,26,bachelor's degree,male,single,white-collar worker
p000174,A000174,1683509,55,high school,female,married,retired
p000175,A000175,3862507,64,associate degree,female,married,unemployed
p000176,A000176,1739462,70,below high school,male,married,retired
p000177,A000177,4693725,23,high school,male,single,student
p000178,A000178,4027316,39,graduate degree or higher,female,married,white-collar worker
p000179,A000179,2947806,33,associate degree,female,married,freelancer
p000180,A000180,3714628,22,associate degree,female,single,student
p000181,A000181,1398427,34,bachelor's degree,male,married,freelancer
p000182,A000182,2793615,28,bachelor's degree,female,married,white-collar worker
p000183,A000183,2793615,45,graduate degree or higher,male,married,business owner
p000184,A000184,3714628,66,high school,female,married,retired
p000185,A000185,3071954,39,bachelor's degree,male,single,blue-collar worker
p000186,A000186,3295718,53,graduate degree or higher,female,married,white-collar worker
p000187,A000187,2198345,23,high school,male,single,unemployed
p000188,A000188,3468205,47,associate degree,female,married,blue-collar worker
p000189,A000189,5039472,31,associate degree,male,married,other
p000190,A000190,1047286,70,below high school,female,married,retired
p000191,A000191,4027316,29,bachelor's degree,male,single,white-collar worker
p000192,A000192,4381267,56,high school,female,married,retired
p000193,A000193,1527806,38,bachelor's degree,male,married,white-collar worker
p000194,A000194,4027316,25,high school,female,single,student
p000195,A000195,5286314,48,associate degree,male,single,blue-collar worker
p000196,A000196,3468205,62,below high school,female,married,retired
p000197,A000197,4528071,30,bachelor's degree,male,single,freelancer
p000198,A000198,2198345,51,associate degree,male,married,blue-collar worker
p000199,A000199,4528071,19,below high school,female,single,student
p000200,A000200,3862507,23,high school,male,single,student
p000201,A000201,2486137,35,bachelor's degree,female,married,white-collar worker
p000202,A000202,1527806,50,associate degree,male,married,blue-collar worker
p000203,A000203,2367901,63,graduate degree or higher,female,married,retired
p000204,A000204,2947806,28,bachelor's degree,male,single,white-collar worker
p000205,A000205,1739462,45,associate degree,female,married,business owner
p000206,A000206,3071954,31,high school,male,single,freelancer
p000207,A000207,1047286,22,below high school,female,single,student
p000208,A000208,4381267,67,associate degree,male,married,retired
p000209,A000209,5286314,41,bachelor's degree,female,married,white-collar worker
p000210,A000210,4381267,26,high school,male,single,blue-collar worker
p000211,A000211,2198345,70,graduate degree or higher,female,married,retired
p000212,A000212,3295718,38,bachelor's degree,male,married,business owner
p000213,A000213,4528071,57,high school,female,married,unemployed
p000214,A000214,1739462,30,associate degree,male,single,freelancer
p000215,A000215,3295718,55,bachelor's degree,female,married,white-collar worker
p000216,A000216,5472906,34,graduate degree or higher,male,single,white-collar worker
p000217,A000217,1527806,73,below high school,female,married,retired
p000218,A000218,5039472,48,associate degree,male,married,blue-collar worker
p000219,A000219,3862507,19,high school,female,single,student
p000220,A000220,2367901,22,associate degree,female,single,student
p000221,A000221,4871609,34,bachelor's degree,male,married,white-collar worker
p000222,A000222,3862507,40,graduate degree or higher,female,married,freelancer
p000223,A000223,3295718,19,high school,male,single,student
p000224,A000224,3714628,48,bachelor's degree,male,married,white-collar worker
p000225,A000225,1872056,68,below high school,female,married,retired
p000226,A000226,1683509,28,associate degree,male,single,freelancer
p000227,A000227,2657408,51,high school,male,married,blue-collar worker
p000228,A000228,4528071,45,graduate degree or higher,male,married,business owner
p000229,A000229,1739462,33,bachelor's degree,female,single,white-collar worker
p000230,A000230,3468205,29,associate degree,female,single,white-collar worker
p000231,A000231,4528071,55,high school,female,married,retired
p000232,A000232,5472906,64,below high school,male,married,retired
p000233,A000233,3295718,42,bachelor's degree,female,married,white-collar worker
p000234,A000234,5472906,24,high school,male,single,freelancer
p000235,A000235,1047286,37,associate degree,female,married,business owner
p000236,A000236,3714628,60,below high school,male,married,unemployed
p000237,A000237,2486137,27,bachelor's degree,female,single,white-collar worker
p000238,A000238,3186407,49,graduate degree or higher,female,married,white-collar worker
p000239,A000239,1047286,31,associate degree,male,single,freelancer
p000240,A000240,1527806,23,high school,female,single,student
p000241,A000241,5472906,34,bachelor's degree,male,married,white-collar worker
p000242,A000242,2657408,29,associate degree,female,single,freelancer
p000243,A000243,5286314,68,high school,female,married,retired
p000244,A000244,4871609,40,graduate degree or higher,male,married,business owner
p000245,A000245,4693725,52,bachelor's degree,male,married,white-collar worker
p000246,A000246,2367901,31,bachelor's degree,female,single,business owner
p000247,A000247,2046713,19,below high school,male,single,student
p000248,A000248,1265934,57,associate degree,female,married,retired
p000249,A000249,2046713,45,bachelor's degree,male,married,blue-collar worker
p000250,A000250,5286314,63,high school,male,married,unemployed
p000251,A000251,3581974,38,graduate degree or higher,female,married,white-collar worker
p000252,A000252,1398427,50,bachelor's degree,female,married,freelancer
p000253,A000253,1398427,22,high school,male,single,blue-collar worker
p000254,A000254,4381267,27,associate degree,female,single,freelancer
p000255,A000255,3186407,72,below high school,male,married,retired
p000256,A000256,4871609,60,high school,female,married,retired
p000257,A000257,1398427,33,bachelor's degree,male,married,white-collar worker
p000258,A000258,4528071,48,graduate degree or higher,female,married,white-collar worker
p000259,A000259,3468205,21,high school,male,single,student
p000260,A000260,4528071,22,associate degree,male,single,student
p000261,A000261,1683509,30,bachelor's degree,female,married,white-collar worker
p000262,A000262,1683509,41,graduate degree or higher,male,married,blue-collar worker
p000263,A000263,4027316,67,associate degree,male,married,retired
p000264,A000264,3186407,56,bachelor's degree,female,married,white-collar worker
p000265,A000265,3468205,18,high school,female,single,student
p000266,A000266,1739462,49,bachelor's degree,male,married,freelancer
p000267,A000267,2198345,34,associate degree,female,single,freelancer
p000268,A000268,3295718,62,high school,male,married,retired
p000269,A000269,5039472,29,bachelor's degree,female,single,white-collar worker
p000270,A000270,3714628,52,graduate degree or higher,female,married,business owner
p000271,A000271,2947806,65,associate degree,male,married,retired
p000272,A000272,1872056,39,bachelor's degree,male,married,blue-collar worker
p000273,A000273,5472906,27,high school,male,single,blue-collar worker
p000274,A000274,3468205,45,bachelor's degree,female,married,white-collar worker
p000275,A000275,4528071,68,associate degree,female,married,retired
p000276,A000276,4381267,60,high school,male,married,retired
p000277,A000277,4175902,32,bachelor's degree,male,single,business owner
p000278,A000278,1872056,23,associate degree,female,single,freelancer
p000279,A000279,4175902,70,high school,female,married,retired
p000280,A000280,2367901,22,associate degree,male,single,student
p000281,A000281,2793615,34,bachelor's degree,female,married,white-collar worker
p000282,A000282,4027316,47,bachelor's degree,female,married,business owner
p000283,A000283,3862507,65,high school,male,married,retired
p000284,A000284,2657408,29,graduate degree or higher,male,single,white-collar worker
p000285,A000285,3071954,53,associate degree,female,married,blue-collar worker
p000286,A000286,5286314,41,bachelor's degree,male,married,business owner
p000287,A000287,3295718,70,high school,female,married,retired
p000288,A000288,3071954,19,high school,male,single,student
p000289,A000289,1527806,45,bachelor's degree,female,married,freelancer
p000290,A000290,2046713,57,associate degree,male,married,unemployed
p000291,A000291,2046713,32,graduate degree or higher,female,single,white-collar worker
p000292,A000292,1398427,48,bachelor's degree,male,married,business owner
p000293,A000293,2486137,24,associate degree,female,single,student
p000294,A000294,1047286,61,high school,male,married,retired
p000295,A000295,3581974,28,bachelor's degree,male,single,white-collar worker
p000296,A000296,3468205,38,associate degree,female,married,freelancer
p000297,A000297,2046713,67,high school,female,married,retired
p000298,A000298,3581974,21,high school,male,single,student
p000299,A000299,2046713,54,bachelor's degree,male,married,business owner
p000300,A000300,1047286,22,high school,female,single,student
p000301,A000301,1398427,30,bachelor's degree,male,married,white-collar worker
p000302,A000302,4175902,45,associate degree,male,married,freelancer
p000303,A000303,3862507,50,graduate degree or higher,female,married,business owner
p000304,A000304,1265934,60,associate degree,male,single,retired
p000305,A000305,2046713,28,bachelor's degree,female,single,white-collar worker
p000306,A000306,1398427,19,below high school,male,single,student
p000307,A000307,5286314,35,high school,male,married,blue-collar worker
p000308,A000308,1265934,40,bachelor's degree,female,married,white-collar worker
p000309,A000309,5039472,55,graduate degree or higher,male,married,business owner
p000310,A000310,2486137,20,below high school,female,single,student
p000311,A000311,1398427,48,associate degree,male,married,freelancer
p000312,A000312,3295718,65,graduate degree or higher,female,married,retired
p000313,A000313,2046713,70,bachelor's degree,male,married,retired
p000314,A000314,2198345,26,associate degree,female,single,white-collar worker
p000315,A000315,4027316,58,high school,male,married,blue-collar worker
p000316,A000316,3186407,34,bachelor's degree,female,married,white-collar worker
p000317,A000317,1872056,62,below high school,female,married,unemployed
p000318,A000318,3468205,27,high school,male,single,freelancer
p000319,A000319,1683509,47,associate degree,female,married,white-collar worker
p000320,A000320,4381267,22,associate degree,male,single,student
p000321,A000321,5472906,34,bachelor's degree,female,married,white-collar worker
p000322,A000322,5286314,46,bachelor's degree,male,married,business owner
p000323,A000323,3581974,65,high school,female,married,retired
p000324,A000324,3581974,29,graduate degree or higher,female,single,blue-collar worker
p000325,A000325,3186407,56,associate degree,male,married,unemployed
p000326,A000326,2046713,42,graduate degree or higher,male,married,white-collar worker
p000327,A000327,4693725,27,bachelor's degree,female,single,freelancer
p000328,A000328,3186407,37,associate degree,male,married,blue-collar worker
p000329,A000329,4693725,63,below high school,female,married,retired
p000330,A000330,2947806,19,high school,male,single,student
p000331,A000331,1872056,51,bachelor's degree,female,married,white-collar worker
p000332,A000332,1527806,38,high school,male,married,blue-collar worker
p000333,A000333,1527806,45,bachelor's degree,female,married,business owner
p000334,A000334,4027316,28,associate degree,male,single,freelancer
p000335,A000335,2947806,59,bachelor's degree,male,married,retired
p000336,A000336,2657408,32,graduate degree or higher,female,single,white-collar worker
p000337,A000337,2947806,70,high school,male,married,retired
p000338,A000338,2947806,23,bachelor's degree,male,single,student
p000339,A000339,3071954,68,associate degree,female,married,retired
p000340,A000340,5039472,22,associate degree,male,single,student
p000341,A000341,4381267,34,bachelor's degree,female,married,white-collar worker
p000342,A000342,1265934,45,bachelor's degree,male,married,business owner
p000343,A000343,4027316,67,high school,female,married,retired
p000344,A000344,3862507,54,associate degree,male,married,blue-collar worker
p000345,A000345,3862507,27,bachelor's degree,female,single,freelancer
p000346,A000346,1527806,40,graduate degree or higher,male,married,white-collar worker
p000347,A000347,1265934,18,high school,female,single,student
p000348,A000348,2793615,33,associate degree,male,married,blue-collar worker
p000349,A000349,4381267,49,high school,female,married,unemployed
p000350,A000350,2486137,59,below high school,male,married,blue-collar worker
p000351,A000351,4693725,24,high school,female,single,other
p000352,A000352,5039472,29,bachelor's degree,male,single,freelancer
p000353,A000353,1527806,42,bachelor's degree,female,married,white-collar worker
p000354,A000354,2046713,70,high school,male,married,retired
p000355,A000355,1872056,62,associate degree,female,married,retired
p000356,A000356,1872056,37,high school,male,married,blue-collar worker
p000357,A000357,3468205,31,associate degree,female,single,blue-collar worker
p000358,A000358,3071954,21,high school,male,single,student
p000359,A000359,1683509,28,bachelor's degree,female,single,white-collar worker
p000360,A000360,2947806,22,high school,male,single,student
p000361,A000361,1739462,45,bachelor's degree,female,married,white-collar worker
p000362,A000362,2198345,56,associate degree,female,married,blue-collar worker
p000363,A000363,3071954,31,bachelor's degree,male,single,freelancer
p000364,A000364,2046713,68,below high school,male,married,retired
p000365,A000365,5039472,40,bachelor's degree,female,married,business owner
p000366,A000366,5472906,19,high school,female,single,student
p000367,A000367,1398427,29,associate degree,male,single,blue-collar worker
p000368,A000368,3071954,36,graduate degree or higher,female,married,white-collar worker
p000369,A000369,4693725,72,high school,male,married,retired
p000370,A000370,5039472,62,associate degree,female,married,unemployed
p000371,A000371,5039472,52,bachelor's degree,male,married,business owner
p000372,A000372,3468205,24,associate degree,female,single,freelancer
p000373,A000373,1527806,47,graduate degree or higher,male,married,white-collar worker
p000374,A000374,1265934,66,high school,male,married,retired
p000375,A000375,3862507,37,bachelor's degree,female,single,other
p000376,A000376,3468205,28,bachelor's degree,female,married,white-collar worker
p000377,A000377,4871609,58,associate degree,female,married,blue-collar worker
p000378,A000378,1047286,26,graduate degree or higher,male,single,white-collar worker
p000379,A000379,1398427,73,bachelor's degree,female,married,retired
p000380,A000380,5472906,22,high school,male,single,student
p000381,A000381,4528071,37,bachelor's degree,female,married,white-collar worker
p000382,A000382,5039472,30,associate degree,male,single,freelancer
p000383,A000383,2046713,66,below high school,female,married,retired
p000384,A000384,1739462,44,associate degree,male,married,business owner
p000385,A000385,2947806,53,bachelor's degree,female,married,white-collar worker
p000386,A000386,3186407,28,bachelor's degree,female,single,white-collar worker
p000387,A000387,3186407,59,high school,male,married,blue-collar worker
p000388,A000388,1872056,34,graduate degree or higher,male,married,business owner
p000389,A000389,5039472,19,below high school,female,single,student
p000390,A000390,2793615,41,high school,female,married,freelancer
p000391,A000391,5286314,62,below high school,male,married,retired
p000392,A000392,1265934,48,associate degree,male,single,unemployed
p000393,A000393,1739462,24,high school,female,single,student
p000394,A000394,2793615,50,high school,female,married,blue-collar worker
p000395,A000395,1047286,26,bachelor's degree,male,single,freelancer
p000396,A000396,2793615,35,bachelor's degree,female,married,business owner
p000397,A000397,2198345,70,below high school,female,married,retired
p000398,A000398,5472906,33,bachelor's degree,male,married,white-collar worker
p000399,A000399,4693725,60,associate degree,female,married,blue-collar worker
p000400,A000400,4693725,23,high school,male,single,student
p000401,A000401,3071954,34,bachelor's degree,female,married,white-collar worker
p000402,A000402,2367901,47,graduate degree or higher,male,married,business owner
p000403,A000403,2947806,59,associate degree,female,married,retired
p000404,A000404,4175902,67,below high school,male,married,retired
p000405,A000405,4381267,29,associate degree,female,single,freelancer
p000406,A000406,4693725,40,bachelor's degree,male,married,blue-collar worker
p000407,A000407,3468205,52,high school,female,married,unemployed
p000408,A000408,4027316,19,below high school,female,single,student
p000409,A000409,4175902,31,bachelor's degree,male,married,white-collar worker
p000410,A000410,3186407,36,associate degree,female,married,blue-collar worker
p000411,A000411,1683509,42,bachelor's degree,male,married,business owner
p000412,A000412,1872056,28,associate degree,female,single,freelancer
p000413,A000413,2367901,65,high school,male,married,retired
p000414,A000414,1872056,24,high school,female,single,student
p000415,A000415,1265934,54,graduate degree or higher,male,married,white-collar worker
p000416,A000416,3581974,48,associate degree,female,married,blue-collar worker
p000417,A000417,4381267,37,bachelor's degree,male,married,white-collar worker
p000418,A000418,3468205,60,below high school,male,married,retired
p000419,A000419,1265934,22,high school,female,single,student
p000420,A000420,4381267,21,high school,female,single,student
p000421,A000421,2486137,34,bachelor's degree,male,married,white-collar worker
p000422,A000422,1265934,55,associate degree,female,married,retired
p000423,A000423,1265934,48,graduate degree or higher,male,married,business owner
p000424,A000424,3581974,63,below high school,male,married,blue-collar worker
p000425,A000425,3186407,27,associate degree,female,single,freelancer
p000426,A000426,3295718,42,graduate degree or higher,female,married,white-collar worker
p000427,A000427,5472906,19,below high school,male,single,student
p000428,A000428,5039472,31,associate degree,male,single,freelancer
p000429,A000429,3295718,70,high school,female,married,retired
p000430,A000430,1739462,29,bachelor's degree,male,married,white-collar worker
p000431,A000431,1265934,23,high school,female,single,student
p000432,A000432,3295718,39,bachelor's degree,female,married,business owner
p000433,A000433,1398427,45,associate degree,male,married,blue-collar worker
p000434,A000434,5039472,52,graduate degree or higher,female,married,retired
p000435,A000435,1739462,64,bachelor's degree,male,married,retired
p000436,A000436,1398427,37,bachelor's degree,male,married,business owner
p000437,A000437,3714628,26,high school,female,single,freelancer
p000438,A000438,1398427,69,below high school,male,married,retired
p000439,A000439,4027316,59,high school,female,married,blue-collar worker
p000440,A000440,5039472,22,bachelor's degree,male,single,student
p000441,A000441,2046713,34,bachelor's degree,female,married,white-collar worker
p000442,A000442,2793615,47,associate degree,male,married,blue-collar worker
p000443,A000443,1527806,65,graduate degree or higher,female,married,retired
p000444,A000444,5286314,29,high school,male,single,freelancer
p000445,A000445,3581974,51,bachelor's degree,female,married,business owner
p000446,A000446,2046713,19,high school,female,single,student
p000447,A000447,3581974,60,graduate degree or higher,male,married,retired
p000448,A000448,3714628,43,associate degree,male,married,blue-collar worker
p000449,A000449,1265934,38,associate degree,female,single,unemployed
p000450,A000450,3714628,55,high school,male,married,business owner
p000451,A000451,1398427,27,bachelor's degree,female,single,white-collar worker
p000452,A000452,2947806,72,below high school,male,married,retired
p000453,A000453,4027316,45,graduate degree or higher,female,married,white-collar worker
p000454,A000454,3581974,24,associate degree,male,single,freelancer
p000455,A000455,3581974,31,bachelor's degree,female,married,business owner
p000456,A000456,3295718,40,associate degree,female,married,blue-collar worker
p000457,A000457,2486137,23,high school,male,single,student
p000458,A000458,5472906,67,graduate degree or higher,male,married,retired
p000459,A000459,2198345,36,bachelor's degree,female,married,white-collar worker
p000460,A000460,1872056,22,high school,female,single,student
p000461,A000461,4027316,34,bachelor's degree,male,married,white-collar worker
p000462,A000462,4175902,29,associate degree,female,single,freelancer
p000463,A000463,2486137,52,graduate degree or higher,male,married,business owner
p000464,A000464,2046713,68,high school,male,single,retired
p000465,A000465,2198345,40,bachelor's degree,female,married,white-collar worker
p000466,A000466,2793615,18,below high school,male,single,student
p000467,A000467,1683509,46,associate degree,female,married,blue-collar worker
p000468,A000468,4027316,30,bachelor's degree,male,single,freelancer
p000469,A000469,3862507,62,high school,female,married,retired
p000470,A000470,2367901,25,associate degree,male,single,other
p000471,A000471,3071954,37,bachelor's degree,female,married,white-collar worker
p000472,A000472,2486137,50,graduate degree or higher,male,married,business owner
p000473,A000473,5472906,19,high school,female,single,student
p000474,A000474,4528071,44,bachelor's degree,male,married,blue-collar worker
p000475,A000475,5472906,28,associate degree,female,single,freelancer
p000476,A000476,1398427,60,high school,male,married,retired
p000477,A000477,1047286,21,high school,female,single,other
p000478,A000478,3071954,55,graduate degree or higher,male,married,business owner
p000479,A000479,3714628,72,high school,female,married,retired
p000480,A000480,3581974,22,high school,female,single,student
p000481,A000481,1527806,47,bachelor's degree,male,married,white-collar worker
p000482,A000482,1398427,56,associate degree,female,married,retired
p000483,A000483,3468205,29,bachelor's degree,male,single,business owner
p000484,A000484,1872056,65,associate degree,male,married,retired
p000485,A000485,3295718,33,graduate degree or higher,female,married,white-collar worker
